        Curve Info,           XAtYMin,      XAtYVal(-10), XWidthAtYVal(-10)
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.8meter' W='0.8meter',           79.0000,           72.6725,           13.7164
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.85meter' W='0.8meter',           75.0000,           70.0829,           11.2604
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.9meter' W='0.8meter',           69.0000,           65.1937,            8.8083
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.95meter' W='0.8meter',           68.0000,           66.6701,            2.3918
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.8meter' W='0.85meter',           75.0000,           70.2251,           10.5957
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.85meter' W='0.85meter',           75.0000,           69.5451,           12.3544
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.9meter' W='0.85meter',           72.0000,           68.2647,            7.5453
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.95meter' W='0.85meter',           66.0000,           62.0825,            8.0172
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='1meter' W='0.85meter',           66.0000,           65.6680,            1.4196
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.8meter' W='0.9meter',           77.0000,           70.7917,           13.1741
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.85meter' W='0.9meter',           78.0000,           72.2255,           12.6357
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.9meter' W='0.9meter',           71.0000,           66.3748,           10.8827
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.95meter' W='0.9meter',           68.0000,           64.3309,            8.3782
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='1meter' W='0.9meter',           66.0000,           62.6568,            7.2053
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.8meter' W='0.95meter',           76.0000,           70.2760,           11.6365
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.85meter' W='0.95meter',           74.0000,           68.6972,           12.6203
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.9meter' W='0.95meter',           72.0000,           66.9006,           11.4217
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.95meter' W='0.95meter',           70.0000,           66.0617,            8.2404
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='1meter' W='0.95meter',           66.0000,           63.5744,            4.0838
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.8meter' W='1meter',           81.0000,           73.6604,           17.2201
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.85meter' W='1meter',           74.0000,           68.6971,           12.9426
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.9meter' W='1meter',           71.0000,           66.2722,           11.6149
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='0.95meter' W='1meter',           67.0000,           62.8117,            9.1328
dB(S(1,1)) Setup1 : Sweep Height='0.5meter' L='1meter' W='1meter',           65.0000,           62.5499,            5.8850
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.8meter' W='0.8meter',           78.0000,           71.1635,           15.2178
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.85meter' W='0.8meter',           71.0000,           66.1966,           11.5477
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.9meter' W='0.8meter',           68.0000,           63.4426,            9.7247
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.95meter' W='0.8meter',           67.0000,           65.5890,            2.3488
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='1meter' W='0.8meter',           64.0000,           61.8078,            4.2963
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.8meter' W='0.85meter',           77.0000,           70.2634,           15.3277
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.85meter' W='0.85meter',           70.0000,           65.2913,            9.4394
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.9meter' W='0.85meter',           68.0000,           63.5050,            9.8317
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.95meter' W='0.85meter',           66.0000,           62.3060,            7.0131
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='1meter' W='0.85meter',           64.0000,           60.3336,            7.2564
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.8meter' W='0.9meter',           78.0000,           70.9054,           16.0927
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.85meter' W='0.9meter',           69.0000,           64.6250,           11.0803
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.9meter' W='0.9meter',           69.0000,           63.9244,           10.5320
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.95meter' W='0.9meter',           66.0000,           61.9931,            8.3507
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='1meter' W='0.9meter',           62.0000,           58.0586,            7.5133
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.8meter' W='0.95meter',           73.0000,           68.2730,           10.3846
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.85meter' W='0.95meter',           72.0000,           66.4516,           12.9745
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.9meter' W='0.95meter',           66.0000,           62.4106,            8.3899
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.95meter' W='0.95meter',           66.0000,           61.4626,            9.5286
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='1meter' W='0.95meter',           64.0000,           59.9854,            7.9643
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.8meter' W='1meter',           77.0000,           69.9711,           15.9172
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.85meter' W='1meter',           72.0000,           66.4554,           13.3177
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.9meter' W='1meter',           67.0000,           62.5779,            9.0508
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='0.95meter' W='1meter',           68.0000,           63.7207,            9.0780
dB(S(1,1)) Setup1 : Sweep Height='0.55meter' L='1meter' W='1meter',           64.0000,           59.8329,            8.9460
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.8meter' W='0.8meter',           76.0000,           69.2784,           16.3489
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.85meter' W='0.8meter',           72.0000,           66.1244,           13.4443
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.9meter' W='0.8meter',           68.0000,           63.2302,           11.3119
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.95meter' W='0.8meter',           66.0000,           62.3618,            9.0852
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.8meter' W='0.85meter',           77.0000,           69.4693,           17.4036
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.85meter' W='0.85meter',           73.0000,           67.0362,           15.3464
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.9meter' W='0.85meter',           69.0000,           64.2559,           11.5411
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.95meter' W='0.85meter',           66.0000,           63.9702,            4.5208
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='1meter' W='0.85meter',           64.0000,           61.1760,            6.6817
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.8meter' W='0.9meter',           75.0000,           68.3426,           16.6889
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.85meter' W='0.9meter',           72.0000,           65.9035,           14.0619
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.9meter' W='0.9meter',           71.0000,           64.8802,           13.7900
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.95meter' W='0.9meter',           68.0000,           62.8635,           11.2061
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='1meter' W='0.9meter',           65.0000,           62.3550,            5.4251
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.8meter' W='0.95meter',           75.0000,           68.3516,           16.9031
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.85meter' W='0.95meter',           74.0000,           66.8207,           16.1487
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.9meter' W='0.95meter',           70.0000,           64.3635,           13.7979
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.95meter' W='0.95meter',           65.0000,           60.3865,           10.3542
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='1meter' W='0.95meter',           63.0000,           58.6805,            9.0852
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.8meter' W='1meter',           75.0000,           68.6400,           16.2012
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.85meter' W='1meter',           71.0000,           65.4104,           14.1895
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.9meter' W='1meter',           69.0000,           63.6995,           13.5200
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='0.95meter' W='1meter',           67.0000,           62.3030,           11.4463
dB(S(1,1)) Setup1 : Sweep Height='0.6meter' L='1meter' W='1meter',           63.0000,           58.8926,            9.7162
dB(S(1,1)) Setup1 : Sweep Height='0.65meter' L='0.8meter' W='0.8meter',           74.0000,           67.4852,           17.1237
dB(S(1,1)) Setup1 : Sweep Height='0.65meter' L='0.85meter' W='0.8meter',           70.0000,           63.9363,           14.0331
dB(S(1,1)) Setup1 : Sweep Height='0.65meter' L='0.9meter' W='0.8meter',           68.0000,           62.9033,           12.6668
dB(S(1,1)) Setup1 : Sweep Height='0.65meter' L='0.95meter' W='0.8meter',           65.0000,           60.9259,            9.5317
dB(S(1,1)) Setup1 : Sweep Height='0.65meter' L='1meter' W='0.8meter',           62.0000,           58.9763,            7.7181
dB(S(1,1)) Setup1 : Sweep Height='0.65meter' L='0.8meter' W='0.85meter',           73.0000,           66.2469,           15.1419
dB(S(1,1)) Setup1 : Sweep Height='0.65meter' L='0.85meter' W='0.85meter',           71.0000,           64.5447,           14.6713
dB(S(1,1)) Setup1 : Sweep Height='0.65meter' L='0.9meter' W='0.85meter',           68.0000,           62.9776,           12.9334
dB(S(1,1)) Setup1 : Sweep Height='0.65meter' L='0.95meter' W='0.85meter',           63.0000,           58.4705,            9.3703
dB(S(1,1)) Setup1 : Sweep Height='0.65meter' L='1meter' W='0.85meter',           62.0000,           57.8184,            8.4109
dB(S(1,1)) Setup1 : Sweep Height='0.65meter' L='0.8meter' W='0.9meter',           71.0000,           65.8287,           11.5689
dB(S(1,1)) Setup1 : Sweep Height='0.65meter' L='0.85meter' W='0.9meter',           68.0000,           62.5327,           11.7392
dB(S(1,1)) Setup1 : Sweep Height='0.65meter' L='0.9meter' W='0.9meter',           66.0000,           60.6238,           11.6438
dB(S(1,1)) Setup1 : Sweep Height='0.65meter' L='0.95meter' W='0.9meter',           66.0000,           60.7894,           11.8044
